userid,education,region,hhsz,age,income,child,race,country,barnesandnoble_purchases
14960920,,3.0,2,6.0,1,0,1,0,0.0
15259931,,3.0,3,5.0,4,1,1,0,1.0
15278860,,4.0,6,8.0,7,1,1,0,0.0
15307262,,1.0,3,8.0,5,1,1,0,0.0
15361806,,3.0,5,5.0,5,1,1,0,0.0
15395926,2.0,4.0,4,2.0,1,1,1,0,0.0
15456085,,2.0,5,9.0,4,1,1,0,0.0
15461534,5.0,4.0,3,7.0,6,1,1,0,0.0
15478818,,3.0,4,8.0,4,1,1,0,0.0
15487259,,2.0,1,9.0,6,0,1,0,2.0
15495503,,3.0,2,9.0,7,0,1,0,0.0
15502916,,3.0,2,6.0,1,0,1,0,0.0
15512093,,1.0,3,8.0,7,1,1,0,0.0
15558902,,3.0,2,10.0,7,0,1,0,0.0
15660394,4.0,4.0,6,8.0,6,1,1,0,0.0
15673957,2.0,4.0,3,9.0,4,1,3,0,0.0
10320198,,2.0,2,5.0,1,1,1,0,0.0
10730454,,1.0,2,7.0,7,1,1,0,2.0
11435661,,3.0,3,5.0,5,0,2,0,0.0
11445080,,2.0,2,9.0,5,1,1,0,0.0
11502308,,3.0,1,11.0,3,0,1,0,0.0
11623782,,2.0,2,5.0,5,0,1,0,0.0
12022004,,3.0,2,7.0,7,1,1,0,0.0
12570828,,1.0,6,11.0,6,1,1,0,0.0
12632762,4.0,2.0,4,7.0,5,1,1,1,0.0
12634967,,1.0,2,6.0,6,0,1,1,6.0
12658190,,1.0,3,11.0,7,1,1,0,0.0
12718243,,3.0,2,10.0,1,0,1,0,0.0
12842811,,3.0,2,6.0,3,0,1,1,6.0
12889073,4.0,2.0,3,6.0,4,1,1,0,0.0
12947897,,3.0,3,9.0,6,1,1,0,0.0
12951830,4.0,3.0,3,8.0,7,1,1,0,0.0
12982854,,3.0,3,3.0,7,1,1,0,0.0
13133797,,1.0,2,3.0,1,0,1,0,0.0
13137513,2.0,2.0,6,7.0,7,1,1,1,0.0
13386091,2.0,4.0,6,10.0,6,1,1,0,1.0
13403362,,3.0,3,5.0,5,1,1,1,0.0
13431105,2.0,3.0,6,8.0,7,1,1,0,0.0
13444479,,3.0,3,7.0,5,1,2,0,0.0
13492644,4.0,4.0,2,8.0,6,0,1,0,0.0
13524332,,4.0,2,7.0,5,1,1,0,4.0
13602443,4.0,2.0,4,9.0,3,1,1,0,16.0
13691087,,2.0,6,5.0,5,1,1,1,0.0
13814172,,3.0,3,5.0,7,1,1,0,0.0
13816817,2.0,3.0,2,5.0,4,0,1,0,0.0
13833726,,3.0,3,4.0,3,1,1,0,0.0
13912224,4.0,3.0,4,8.0,5,1,1,0,0.0
14063717,,1.0,2,10.0,7,0,1,0,0.0
14329414,2.0,3.0,2,9.0,6,0,1,0,0.0
14335147,,1.0,4,5.0,5,1,1,0,0.0
14380844,,2.0,5,8.0,5,1,1,0,0.0
14388722,,4.0,5,6.0,5,1,1,0,0.0
14398862,,1.0,4,4.0,1,0,1,0,2.0
14410967,,2.0,4,7.0,4,1,1,0,0.0
14411385,1.0,1.0,2,6.0,1,0,1,0,29.0
14423944,,3.0,3,7.0,4,1,1,0,0.0
14427132,,2.0,2,10.0,2,1,1,0,1.0
14440060,,3.0,4,10.0,7,1,1,0,0.0
14478121,,1.0,4,8.0,5,1,1,1,0.0
14494402,,3.0,2,8.0,5,0,1,0,0.0
14528328,,2.0,2,9.0,7,1,1,0,0.0
14563734,,3.0,5,5.0,7,1,1,1,1.0
14597656,,3.0,2,11.0,1,0,1,0,0.0
14630526,,2.0,4,9.0,3,1,1,0,2.0
14657804,,1.0,5,10.0,1,1,1,0,0.0
14698489,2.0,3.0,2,9.0,1,0,1,0,0.0
14717268,,2.0,5,8.0,3,1,1,0,0.0
14837828,,2.0,4,7.0,7,1,1,0,11.0
14846250,1.0,1.0,3,7.0,6,1,1,0,2.0
14919786,2.0,3.0,4,8.0,1,1,1,0,7.0
14944848,,1.0,3,8.0,6,1,1,0,0.0
14990727,4.0,1.0,5,7.0,5,1,3,0,0.0
14991933,,3.0,2,5.0,7,0,1,0,5.0
15005112,,3.0,2,2.0,6,1,1,0,0.0
15038428,,4.0,3,4.0,4,1,1,1,0.0
15041043,1.0,1.0,6,5.0,5,1,1,1,0.0
15053089,,2.0,2,4.0,3,1,1,0,0.0
15055777,4.0,4.0,3,6.0,5,1,1,0,3.0
15062067,,2.0,3,6.0,6,1,1,0,0.0
15073704,,1.0,1,4.0,7,0,1,0,7.0
15224486,,1.0,4,9.0,6,1,1,0,0.0
15317031,1.0,2.0,3,10.0,5,1,1,0,0.0
15323786,,3.0,2,11.0,5,0,1,0,0.0
15345524,,3.0,2,5.0,1,1,1,0,0.0
15347014,,1.0,2,11.0,5,1,1,0,35.0
15372821,2.0,4.0,5,8.0,7,1,1,0,0.0
15385971,,3.0,4,9.0,7,1,1,0,0.0
15395643,,3.0,5,7.0,5,1,1,0,0.0
15469293,2.0,4.0,6,9.0,4,1,1,0,1.0
15508944,,2.0,4,6.0,1,1,1,1,0.0
